ligand_id	engine	score_kcal_mol
EDTA	ad4	-3.22
EDTA	smina	-5.70
EDTA	vina	-5.50
EGTA	ad4	-3.21
EGTA	smina	-6.10
EGTA	vina	-6.10
ascorbic_acid	ad4	-4.21
ascorbic_acid	smina	-5.70
ascorbic_acid	vina	-5.10
aspirin	ad4	-4.15
aspirin	smina	-6.00
aspirin	vina	-5.80
caffeine	ad4	-4.48
caffeine	smina	-5.50
caffeine	vina	-5.50
citric_acid	ad4	-3.94
citric_acid	smina	-5.30
citric_acid	vina	-5.00
glycine	ad4	-2.93
glycine	smina	-3.40
glycine	vina	-3.20
malonic_acid	ad4	-3.23
malonic_acid	smina	-4.00
malonic_acid	vina	-3.80
oxalic_acid	ad4	-3.04
oxalic_acid	smina	-3.60
oxalic_acid	vina	-3.50
salicylic_acid	ad4	-4.51
salicylic_acid	smina	-5.80
salicylic_acid	vina	-5.50
tartaric_acid	ad4	-3.22
tartaric_acid	smina	-4.90
tartaric_acid	vina	-4.50
