overall_rank	ligand_id	metal_evidence_tier	has_real_metal_contact	avg_generic_rank	vina_rank	smina_rank	ad4_rank	plip_rank	metal_energy_rank	geometry_rank
1	ascorbic_acid	1	True	5.25	3	2	6	10	6	1
2	EGTA	1	True	6.25	4	4	11	6	1	2
3	EDTA	1	True	6.75	8	8	10	1	2	6
4	malonic_acid	1	True	7.50	9	9	5	7	9	3
5	glycine	1	True	8.50	11	11	4	8	11	5
6	oxalic_acid	1	True	9.00	10	10	7	9	10	4
7	aspirin	2	False	2.00	1	3	2	2	4	7
8	salicylic_acid	2	False	2.50	2	1	3	4	5	9
9	caffeine	2	False	5.50	5	5	1	11	8	10
10	citric_acid	2	False	6.25	6	7	9	3	3	8
11	tartaric_acid	2	False	6.50	7	6	8	5	7	11
