ligand_id	engine	score_kcal_mol
EDTA	ad4	-0.11
EDTA	smina	-3.70
EDTA	vina	-3.30
EGTA	ad4	NA
EGTA	smina	-4.30
EGTA	vina	-4.10
ascorbic_acid	ad4	-2.79
ascorbic_acid	smina	-4.70
ascorbic_acid	vina	-4.30
aspirin	ad4	-3.40
aspirin	smina	-4.70
aspirin	vina	-4.60
caffeine	ad4	-3.47
caffeine	smina	-4.10
caffeine	vina	-4.10
citric_acid	ad4	-1.32
citric_acid	smina	-4.00
citric_acid	vina	-3.80
glycine	ad4	-2.93
glycine	smina	-3.10
glycine	vina	-2.90
malonic_acid	ad4	-2.80
malonic_acid	smina	-3.40
malonic_acid	vina	-3.30
oxalic_acid	ad4	-2.32
oxalic_acid	smina	-3.20
oxalic_acid	vina	-3.10
salicylic_acid	ad4	-3.25
salicylic_acid	smina	-4.90
salicylic_acid	vina	-4.60
tartaric_acid	ad4	-1.91
tartaric_acid	smina	-4.10
tartaric_acid	vina	-3.80
