rank	ligand_id	best_search_energy_kcal_mol	avg_metal_binding_score	best_coordination_score	violation_rate
1	EGTA	-11.536	0.000	0.000	1.00
2	EDTA	-9.350	0.000	0.000	1.00
3	citric_acid	-7.448	0.000	0.000	1.00
4	aspirin	-7.112	0.000	0.000	1.00
5	salicylic_acid	-6.384	0.000	0.000	1.00
6	ascorbic_acid	-6.338	0.000	0.000	1.00
7	tartaric_acid	-6.163	0.000	0.000	1.00
8	caffeine	-5.433	0.000	0.000	1.00
9	malonic_acid	-4.939	0.000	0.000	1.00
10	oxalic_acid	-4.182	0.000	0.000	1.00
11	glycine	-3.855	0.000	0.000	1.00
