ligand_id	mw	logp	hbd	hba	tpsa	rotatable_bonds	lipinski_violations	violation_flags
EDTA	292.24	-2.07	4	6	155.68	11	0	none
EGTA	380.35	-2.04	4	8	174.14	17	0	none
ascorbic_acid	176.12	-1.41	4	6	107.22	2	0	none
aspirin	180.16	1.31	1	3	63.6	2	0	none
caffeine	194.19	-1.03	0	3	61.82	0	0	none
citric_acid	192.12	-1.25	4	4	132.13	5	0	none
glycine	75.07	-0.97	2	2	63.32	1	0	none
malonic_acid	104.06	-0.45	2	2	74.6	2	0	none
oxalic_acid	90.03	-0.84	2	2	74.6	0	0	none
salicylic_acid	138.12	1.09	2	2	57.53	1	0	none
tartaric_acid	150.09	-2.12	4	4	115.06	3	0	none
