target	ligand_id	engine	score_kcal_mol
1HSG	EDTA	ad4	-3.22
1HSG	EDTA	smina	-5.70
1HSG	EDTA	vina	-5.50
3BH4	EDTA	ad4	-0.11
3BH4	EDTA	smina	-3.70
3BH4	EDTA	vina	-3.30
1HSG	EGTA	ad4	-3.21
1HSG	EGTA	smina	-6.10
1HSG	EGTA	vina	-6.10
3BH4	EGTA	ad4	NA
3BH4	EGTA	smina	-4.30
3BH4	EGTA	vina	-4.10
1HSG	ascorbic_acid	ad4	-4.21
1HSG	ascorbic_acid	smina	-5.70
1HSG	ascorbic_acid	vina	-5.10
3BH4	ascorbic_acid	ad4	-2.79
3BH4	ascorbic_acid	smina	-4.70
3BH4	ascorbic_acid	vina	-4.30
1HSG	aspirin	ad4	-4.15
1HSG	aspirin	smina	-6.00
1HSG	aspirin	vina	-5.80
3BH4	aspirin	ad4	-3.40
3BH4	aspirin	smina	-4.70
3BH4	aspirin	vina	-4.60
1HSG	caffeine	ad4	-4.48
1HSG	caffeine	smina	-5.50
1HSG	caffeine	vina	-5.50
3BH4	caffeine	ad4	-3.47
3BH4	caffeine	smina	-4.10
3BH4	caffeine	vina	-4.10
1HSG	citric_acid	ad4	-3.94
1HSG	citric_acid	smina	-5.30
1HSG	citric_acid	vina	-5.00
3BH4	citric_acid	ad4	-1.32
3BH4	citric_acid	smina	-4.00
3BH4	citric_acid	vina	-3.80
1HSG	glycine	ad4	-2.93
1HSG	glycine	smina	-3.40
1HSG	glycine	vina	-3.20
3BH4	glycine	ad4	-2.93
3BH4	glycine	smina	-3.10
3BH4	glycine	vina	-2.90
1HSG	malonic_acid	ad4	-3.23
1HSG	malonic_acid	smina	-4.00
1HSG	malonic_acid	vina	-3.80
3BH4	malonic_acid	ad4	-2.80
3BH4	malonic_acid	smina	-3.40
3BH4	malonic_acid	vina	-3.30
1HSG	oxalic_acid	ad4	-3.04
1HSG	oxalic_acid	smina	-3.60
1HSG	oxalic_acid	vina	-3.50
3BH4	oxalic_acid	ad4	-2.32
3BH4	oxalic_acid	smina	-3.20
3BH4	oxalic_acid	vina	-3.10
1HSG	salicylic_acid	ad4	-4.51
1HSG	salicylic_acid	smina	-5.80
1HSG	salicylic_acid	vina	-5.50
3BH4	salicylic_acid	ad4	-3.25
3BH4	salicylic_acid	smina	-4.90
3BH4	salicylic_acid	vina	-4.60
1HSG	tartaric_acid	ad4	-3.22
1HSG	tartaric_acid	smina	-4.90
1HSG	tartaric_acid	vina	-4.50
3BH4	tartaric_acid	ad4	-1.91
3BH4	tartaric_acid	smina	-4.10
3BH4	tartaric_acid	vina	-3.80
